year,player,country,club,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1993,Roberto Baggio,Italy,Juventus,4ea13093-bbb4-4683-a217-e0c9270727b1,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1994,Hristo Stoichkov,Bulgaria,Barcelona,b19f466a-9615-4d3a-9cc4-b7491ef15758,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1995,George Weah,Liberia,AC Milan,09eb9fd8-9f75-4334-a7d1-f76c5638a1a3,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1996,Matthias Sammer,Germany,Borussia Dortmund,1549777b-89d2-4e27-b4cb-21d985e190b7,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1997,Ronaldo Nazário,Brazil,Inter Milan,c31aa7dd-8e08-41ad-bac5-2cd161fcd34d,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1998,Zinedine Zidane,France,Juventus,2ed02da0-4a6a-420c-a7d3-ba29a8ca924e,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1999,Rivaldo,Brazil,Barcelona,f3d5dd35-79d0-4930-89db-ceae548c4682,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2000,Luís Figo,Portugal,Real Madrid,7078468c-188d-413e-920a-45672f9f5695,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2001,Michael Owen,England,Liverpool,3d5e83cd-c703-47c6-ae4b-4181f7fc838d,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2002,Ronaldo Nazário,Brazil,Real Madrid,d325c58b-3348-4d7b-9183-842f6938fb16,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2003,Pavel Nedvěd,Czechia,Juventus,f2aa0853-feb8-41fa-8584-eb927338041a,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2004,Andriy Shevchenko,Ukraine,AC Milan,9350c1fe-3214-40bf-9fcc-2151446e45e0,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2005,Ronaldinho,Brazil,Barcelona,bd7b6b11-44f0-402d-be01-11a18d3073b8,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2006,Fabio Cannavaro,Italy,Real Madrid,5dc70126-44cc-4bb5-bfad-88fb567699b3,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2007,Kaká,Brazil,AC Milan,5ed6ccca-8535-4545-bb37-8aabaca52b35,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2008,Cristiano Ronaldo,Portugal,Manchester United,27ed2e0d-ce82-4c1f-89d2-1cd69e51ab56,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
