edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,b4b95f81-6054-467c-937d-062b0e5fd3cf,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,673169b8-2d53-4b45-ad1d-848ce3f6dae8,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,dddf0626-4110-4eeb-a1f6-9bc195a3fb48,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,5c464ad9-fbea-4a54-9401-0f1f01ef6207,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,e0d80601-b4d1-4033-801a-3b6671362b7c,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,28c22528-6ed0-4363-a7fd-104daecf3fcb,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,781c5a89-9580-47e4-b692-0812dad263eb,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,0968426b-ea32-4051-b1d7-922535171cc1,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
19,2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,64,145,2.27,3178856,Thomas Müller / Wesley Sneijder / David Villa / Diego Forlán,Multiple,5,June 11,July 11,Johannesburg,No,Knockout,fc276830-1c47-4718-b654-658cf1a43925,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
20,2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,64,171,2.67,3429873,James Rodríguez,Colombia,6,June 12,July 13,Rio de Janeiro,No,Knockout,22226c26-586f-4df2-9fc1-ff670fd947eb,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
21,2018,Russia,France,Croatia,Belgium,England,32,64,169,2.64,3031768,Harry Kane,England,6,June 14,July 15,Moscow,No,Knockout,e7d783f8-72bc-4d88-98b1-617b580fca59,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
22,2022,Qatar,Argentina,France,Croatia,Morocco,32,64,172,2.69,3404252,Kylian Mbappé,France,8,November 20,December 18,Lusail,No,Knockout,a856b434-93c1-40ae-8bec-ff643a9cec01,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
23,2026,United States / Canada / Mexico,Spain,Argentina,England,France,48,104,298,2.87,6850000,Kylian Mbappé,France,10,June 11,July 19,East Rutherford,No,Knockout,1a5c77b7-db62-4c22-907b-2ebb7db17300,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
