year,player,country,club,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
2012,Lionel Messi,Argentina,Barcelona,eb6e8f6b-a7d1-43b7-a9a5-519f592f67fe,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2013,Cristiano Ronaldo,Portugal,Real Madrid,c62111d5-5513-46cc-bc42-c1a9e2984099,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2014,Cristiano Ronaldo,Portugal,Real Madrid,0c58e4bb-40a3-455f-9a27-944ffbf38aed,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2015,Lionel Messi,Argentina,Barcelona,b567233a-50cb-48b9-a65f-8f08a55b9fe8,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2016,Cristiano Ronaldo,Portugal,Real Madrid,e7b45bff-3fb8-4afa-a320-9b632ca14e87,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2017,Cristiano Ronaldo,Portugal,Real Madrid,b4278e57-71eb-4d07-8726-abe95b4220f2,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2018,Luka Modrić,Croatia,Real Madrid,2d8a95f2-a7a6-4d6a-8ca0-9e9a5a4d60ac,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2019,Lionel Messi,Argentina,Barcelona,42a4a7d1-4603-45bf-bc9e-a67b763315dd,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2020,NOT AWARDED,,COVID-19 pandemic cancellation,9cb614e5-11d5-473e-bd19-fcea2aef89f9,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2021,Lionel Messi,Argentina,Paris Saint-Germain,91652844-2312-4a8f-9d0a-9ac44689f8cc,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2022,Karim Benzema,France,Real Madrid,75f61618-30b7-4513-90ef-f4665ec80a65,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2023,Lionel Messi,Argentina,Paris Saint-Germain,8b54266a-bb32-4f13-9ff4-0805474655e1,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2024,Rodri,Spain,Manchester City,601a10c5-91a6-4f2f-a527-ab25cd490125,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2025,Ousmane Dembélé,France,Paris Saint-Germain,016fb09e-3ccf-4e09-8117-0a84c1e48ee4,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
